timestamp,pid,cpu_pct,host_cpu_pct,rss_mb,vsz_mb
2026-07-02T01:28:31Z,3877352,0.00,46.29,2945.84,139388.23
2026-07-02T01:28:32Z,3877352,0.00,60.78,3170.16,371744.00
2026-07-02T01:28:34Z,3877352,1.41,74.47,3186.72,371744.87
2026-07-02T01:28:35Z,3877352,49.77,123.99,3483.28,371891.88
2026-07-02T01:28:37Z,3877352,57.58,120.50,3483.98,371871.89
2026-07-02T01:28:38Z,3877352,0.69,80.28,3484.88,371871.89
2026-07-02T01:28:39Z,3877352,0.00,59.89,3485.19,371871.89
2026-07-02T01:28:41Z,3877352,51.41,225.51,4879.93,465703.15
2026-07-02T01:28:43Z,3877352,104.21,399.51,4171.11,372112.99
2026-07-02T01:28:45Z,3877352,121.86,198.09,4262.91,372090.27
2026-07-02T01:28:46Z,3877352,106.34,145.58,4180.66,372001.07
2026-07-02T01:28:48Z,3877352,0.00,78.88,4180.81,372001.07
2026-07-02T01:28:49Z,3877352,0.69,77.35,4181.52,372001.07
2026-07-02T01:28:51Z,3877352,0.69,75.13,4181.93,372001.07
2026-07-02T01:28:53Z,3877352,61.28,392.33,4433.59,372044.75
2026-07-02T01:28:54Z,3877352,17.56,75.49,4404.42,372013.09
2026-07-02T01:28:56Z,3877352,0.71,60.50,4404.95,372013.09
2026-07-02T01:28:57Z,3877352,0.00,61.21,4405.11,372013.09
2026-07-02T01:28:58Z,3877352,13.93,101.92,4413.47,372021.50
2026-07-02T01:29:00Z,3877352,91.68,156.49,4399.05,372003.48
2026-07-02T01:29:01Z,3877352,0.00,69.01,3792.01,302167.95
2026-07-02T01:29:03Z,3877352,0.69,85.42,3180.00,371744.86
2026-07-02T01:29:04Z,3877352,90.61,170.17,3453.37,371763.54
2026-07-02T01:29:06Z,3877352,0.00,62.57,3454.53,371763.54
2026-07-02T01:29:07Z,3877352,57.25,356.51,5364.12,465540.57
2026-07-02T01:29:09Z,3877352,90.13,283.17,4104.89,371950.73
2026-07-02T01:29:11Z,3877352,163.36,352.25,5572.61,465678.88
2026-07-02T01:29:12Z,3877352,70.68,345.10,4440.42,372022.05
2026-07-02T01:29:14Z,3877352,0.71,73.12,4440.69,372022.05
2026-07-02T01:29:15Z,3877352,0.71,75.31,4441.03,372022.05
2026-07-02T01:29:16Z,3877352,2.11,62.68,4441.78,372022.05
2026-07-02T01:29:18Z,3877352,0.00,64.92,4442.22,372022.05
2026-07-02T01:29:20Z,3877352,94.23,241.89,4529.82,372103.39
2026-07-02T01:29:21Z,3877352,135.95,400.00,6054.18,465732.84
2026-07-02T01:29:23Z,3877352,85.03,257.24,4796.53,372029.50
2026-07-02T01:29:24Z,3877352,68.31,170.31,4861.34,372099.45
2026-07-02T01:29:26Z,3877352,153.35,369.19,6112.86,465684.34
2026-07-02T01:29:27Z,3877352,50.61,228.67,4878.83,372029.72
2026-07-02T01:29:29Z,3877352,0.71,74.87,4878.98,372029.72
2026-07-02T01:29:30Z,3877352,0.00,61.76,4879.29,372029.72
2026-07-02T01:29:32Z,3877352,0.65,138.29,3109.12,325272.67
2026-07-02T01:29:33Z,3877352,2.10,108.26,3246.26,371744.62
2026-07-02T01:29:35Z,3877352,0.00,78.70,3255.48,371744.84
2026-07-02T01:29:36Z,3877352,1.43,74.87,3259.48,371744.84
2026-07-02T01:29:37Z,3877352,0.00,59.93,3263.59,371744.84
2026-07-02T01:29:39Z,3877352,81.56,172.21,3504.30,371891.91
2026-07-02T01:29:40Z,3877352,88.12,153.21,3593.16,371941.38
2026-07-02T01:29:42Z,3877352,32.76,97.49,3550.68,371893.44
2026-07-02T01:29:43Z,3877352,20.24,204.78,4864.54,465545.12
2026-07-02T01:29:45Z,3877352,68.43,357.74,3937.65,371895.06
2026-07-02T01:29:47Z,3877352,0.72,75.81,3938.23,371895.06
2026-07-02T01:29:48Z,3877352,0.00,61.26,3938.44,371895.06
2026-07-02T01:29:49Z,3877352,0.00,60.43,3938.82,371895.06
2026-07-02T01:29:51Z,3877352,2.14,74.55,3939.06,371895.06
2026-07-02T01:29:52Z,3877352,0.00,74.23,3939.39,371895.06
2026-07-02T01:29:54Z,3877352,0.00,60.82,3939.97,371895.06
2026-07-02T01:29:55Z,3877352,83.61,176.73,3928.25,371886.03
2026-07-02T01:29:57Z,3877352,65.98,199.09,4101.66,372077.13
2026-07-02T01:29:58Z,3877352,89.17,400.00,5866.77,465729.14
2026-07-02T01:30:00Z,3877352,78.84,193.71,4334.97,372031.45
2026-07-02T01:30:01Z,3877352,65.80,250.40,3772.34,395165.52
