run_dir,scenario,bench_replica_count,replicas_in_bundle,sut,workload,load_mode,target_rps_per_replica,open_loop,total_achieved_rps_sum,total_successful_rps_sum,total_error_rps_sum,total_completed_rps_sum,total_attempted_rps_sum,total_requests,total_successful_requests,total_failed_requests,aggregate_error_rate,top_error_types,median_replica_p50_ms,median_replica_p95_ms,median_replica_p99_ms,median_replica_p999_ms,proxy_service_cpu_aligned_peak_pct,proxy_service_cpu_legacy_peak_sum_pct,proxy_host_cpu_aligned_peak_pct,postgres_cpu_pct_peak,postgres_cpu_pct_mean,postgres_rss_mb_peak,postgres_rss_mb_mean,bench_cpu_sum_pct,proxy_rss_mb_aligned_peak,total_cpu_pct,total_cpu_mean_pct,total_cpu_p95_pct,total_rss_mb_peak,total_rss_mb_mean,total_rss_mb_p95,comparison_label,comparison_path_resolved,latency_percentiles_source,merged_p50_ms,merged_p95_ms,merged_p99_ms,merged_p999_ms,hdr_unit_divisor
hikari-prod-20260704-131549,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,1,True,3.9997725397736152,3.9997725397736152,0.0,3.9997725397736152,3.9997725397736152,3604,3604,0,0.0,,1.85,545.1510000000001,7303.1669999999995,11853.823,,,,264.48,23.844872180451127,17843.71,5199.583533834586,0.40060095157771725,0.0,264.8806009515777,24.245473132028845,158.04660095157763,17843.71,5199.583533834586,9759.933999999997,Hikari A,/home/rogerio/Projects/stressum/results/hikari-prod-20260704-131549,summary_json_median,,,,,
hikari-prod-20260704-144910,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,1,True,4.000638325528132,4.000638325528132,0.0,4.000638325528132,4.000638325528132,3604,3604,0,0.0,,1.7405,540.415,7071.743,11259.903,,,,239.09,18.158293333333337,8570.9,4068.4792266666664,0.4007012522792204,0.0,239.49070125227922,18.558994585612556,124.47170125227903,8570.9,4068.4792266666664,6078.6900000000005,Hikari B,/home/rogerio/Projects/stressum/results/hikari-prod-20260704-144910,summary_json_median,,,,,
hikari-prod-20260704-162132,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,1,True,4.0000544262209985,4.0000544262209985,0.0,4.0000544262209985,4.0000544262209985,3604,3604,0,0.0,,1.8025,533.631,7053.311,11161.599,,,,229.06,18.436889185580775,10077.55,4076.902122830441,0.4006510768156242,0.0,229.46065107681562,18.8375402623964,133.89865107681564,10077.55,4076.902122830441,6045.492,Hikari C,/home/rogerio/Projects/stressum/results/hikari-prod-20260704-162132,summary_json_median,,,,,
hikari-prod-20260704-175354,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,1,True,4.000396329471885,4.000396329471885,0.0,4.000396329471885,4.000396329471885,3604,3604,0,0.0,,1.742,523.135,6762.495000000001,11632.639,,,,308.15,18.162536327608983,9637.75,4117.150541611625,0.4008016032064128,0.0,308.55080160320637,18.563337930815397,120.45480160320616,9637.75,4117.150541611625,6038.165999999998,Hikari D,/home/rogerio/Projects/stressum/results/hikari-prod-20260704-175354,summary_json_median,,,,,
hikari-prod-20260704-192612,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,1,True,4.00042741151076,4.00042741151076,0.0,4.00042741151076,4.00042741151076,3604,3604,0,0.0,,1.8265,512.511,6297.599,10760.190999999999,,,,218.37,17.92013458950202,8347.31,4049.910269179004,0.450676239923569,0.0,218.82067623992359,18.37081082942559,121.02467623992356,8347.31,4049.910269179004,6037.097,Hikari E,/home/rogerio/Projects/stressum/results/hikari-prod-20260704-192612,summary_json_median,,,,,
hikari-prod-20260704-205833,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,4,True,15.261909677556813,15.261909677556813,0.08983883783381669,15.35174851539063,15.405224022271607,14354,14270,84,0.005852027309460777,SQLTransientConnectionException:84,26.487000000000002,28385.279000000002,80347.135,176095.231,,,,311.97,104.46186363636365,46136.11,12880.680636363635,0.700876792119222,0.0,312.67087679211926,105.16274042848286,269.2348767921192,46136.11,12880.680636363635,41647.153999999944,Hikari F,/home/rogerio/Projects/stressum/results/hikari-prod-20260704-205833,summary_json_median,,,,,
hikari-prod-20260704-223223,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,4,True,15.428565121522478,15.428565121522478,0.0,15.428565121522478,15.410376295806616,14421,14421,0,0.0,,8.651,13582.335,47005.695,98631.679,,,,314.01,99.92236947791164,27543.09,9824.116646586344,0.7015033074420647,0.0,314.71150330744206,100.62387278535371,269.51750330744204,27543.09,9824.116646586344,27317.34,Hikari G,/home/rogerio/Projects/stressum/results/hikari-prod-20260704-223223,summary_json_median,,,,,
hikari-prod-20260705-000548,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,4,True,15.528749869376503,15.528749869376503,0.0,15.528749869376503,15.50829770554,14423,14423,0,0.0,,8.205,13537.278999999999,48136.191,89587.71100000001,,,,321.55,97.9529862475442,25245.6,9419.43194499018,0.7513777432562371,0.0,322.30137774325624,98.70436399080045,272.0213777432562,25245.6,9419.43194499018,25160.41,Hikari H,/home/rogerio/Projects/stressum/results/hikari-prod-20260705-000548,summary_json_median,,,,,
hikari-prod-20260705-013906,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,4,True,15.567064823976198,15.567064823976198,0.0,15.567064823976198,15.54763406378262,14422,14422,0,0.0,,6.291,10715.135,35389.439,69599.231,,,,314.24,92.3427911275416,22866.7,8614.215101663585,0.7014781442584417,0.0,314.94147814425844,93.04426927180005,265.7314781442584,22866.7,8614.215101663585,22647.83,Hikari I,/home/rogerio/Projects/stressum/results/hikari-prod-20260705-013906,summary_json_median,,,,,
hikari-prod-20260705-031212,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,4,True,15.532759795999011,15.532759795999011,0.0,15.532759795999011,15.512300450838744,14423,14423,0,0.0,,6.101,10309.631000000001,32980.990999999995,68091.903,,,,312.73,93.3736823104693,24382.38,8698.635379061372,0.7011523556649917,0.0,313.431152355665,94.0748346661343,264.89165235566503,24382.38,8698.635379061372,24322.95,Hikari J,/home/rogerio/Projects/stressum/results/hikari-prod-20260705-031212,summary_json_median,,,,,
hikari-prod-20260705-044514,hikari-prod,4,4,HIKARI_DISCIPLINED,W5_HTAP,open-loop,8,True,15.212732649599028,15.212732649599028,16.615931595016836,31.82866424461586,30.806211188434496,29760,14224,15536,0.5220430107526882,SQLTransientConnectionException:15536,28581.887000000002,82313.215,200605.695,211288.063,,,,305.04,123.37050251256284,43363.35,18924.532537688443,0.8009014524794206,0.0,305.84090145247944,124.17140396504226,266.9954014524794,43363.35,18924.532537688443,43343.71,Hikari K,/home/rogerio/Projects/stressum/results/hikari-prod-20260705-044514,summary_json_median,,,,,
