timestamp,heap_used_mb,heap_committed_mb,ygc_count,ygct_s,fgc_count,fgct_s,gct_s
2026-05-23T08:44:52Z,12.86,40.00,4,0.018,0,0.000,0.020
2026-05-23T08:44:53Z,12.86,40.00,4,0.018,0,0.000,0.020
2026-05-23T08:44:54Z,12.86,40.00,4,0.018,0,0.000,0.020
2026-05-23T08:44:55Z,12.86,40.00,4,0.018,0,0.000,0.020
2026-05-23T08:44:56Z,12.86,40.00,4,0.018,0,0.000,0.020
2026-05-23T08:44:57Z,12.86,40.00,4,0.018,0,0.000,0.020
2026-05-23T08:44:58Z,12.86,40.00,4,0.018,0,0.000,0.020
2026-05-23T08:44:59Z,12.86,40.00,4,0.018,0,0.000,0.020
2026-05-23T08:45:00Z,12.86,40.00,4,0.018,0,0.000,0.020
2026-05-23T08:45:01Z,12.86,40.00,4,0.018,0,0.000,0.020
2026-05-23T08:45:02Z,12.86,40.00,4,0.018,0,0.000,0.020
2026-05-23T08:45:03Z,12.86,40.00,4,0.018,0,0.000,0.020
2026-05-23T08:45:04Z,37.86,40.00,5,0.018,0,0.000,0.020
2026-05-23T08:45:05Z,20.11,45.00,5,0.028,0,0.000,0.030
2026-05-23T08:45:06Z,17.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:07Z,17.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:08Z,17.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:09Z,18.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:10Z,18.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:11Z,18.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:12Z,18.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:13Z,18.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:14Z,18.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:15Z,19.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:16Z,19.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:17Z,19.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:18Z,19.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:19Z,19.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:20Z,19.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:21Z,19.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:22Z,19.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:23Z,19.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:24Z,19.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:25Z,20.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:26Z,20.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:27Z,20.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:28Z,20.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:29Z,20.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:30Z,21.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:31Z,22.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:32Z,22.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:33Z,23.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:34Z,23.49,45.00,7,0.038,0,0.000,0.046
2026-05-23T08:45:35Z,24.49,45.00,7,0.038,0,0.000,0.046
