label,run_dir,scenario,workload,technology,per_node_rps,aggregate_rps,load_source,successful_rps,completed_rps,error_rps,attempted_rps,offered_rps,error_rate_pct,p95_latency_ms,p99_latency_ms,mean_failed_latency_ms,postgres_backend_connections,rps_per_db_connection,postgres_cpu_pct_avg,postgres_rss_mib,proxy_tier_cpu_pct,proxy_tier_rss_mib,duration_seconds,ojp_heap_used_mib,ojp_heap_committed_mib,ojp_heap_max_mib,ojp_heap_utilisation_percent,error_count_sqltransientexception,error_count_sqltransientconnectionexception,error_count_statusruntimeexception,error_count_sqlexception,error_count_timeout,error_count_connection_acquisition_failure,error_count_admission_control_failure,error_count_other,repetition,repetition_count
Hikari A,hikari-prod-20260711-105523,hikari-prod,W5_HTAP,HikariCP,1.0,4.0,runInfo.targetRps_per_node,4.00304013504896,4.00304013504896,0.0,3.9986021748105474,4.0,0.0,670.975,9189.375,,41.0,0.09763512524509659,19.552008368200838,4641.619442119945,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
Hikari B,hikari-prod-20260711-122828,hikari-prod,W5_HTAP,HikariCP,1.0,4.0,runInfo.targetRps_per_node,4.001957063687425,4.001957063687425,0.0,3.9986269678309756,4.0,0.0,628.991,8450.047,,41.0,0.097608708870425,18.319251040221914,4081.9766712898754,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5
Hikari C,hikari-prod-20260711-140123,hikari-prod,W5_HTAP,HikariCP,1.0,4.0,runInfo.targetRps_per_node,4.002546760495272,4.002546760495272,0.0,3.9992177326586678,4.0,0.0,624.127,7976.959,,41.0,0.09762309171939687,18.203569444444444,4100.4451944444445,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
Hikari D,hikari-prod-20260711-153425,hikari-prod,W5_HTAP,HikariCP,1.0,4.0,runInfo.targetRps_per_node,4.001392470024304,4.001392470024304,0.0,3.9991736721297633,4.0,0.0,552.9590000000001,8624.127,,41.0,0.0975949382932757,18.016304044630402,4081.2272803347278,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5
Hikari E,hikari-prod-20260711-170716,hikari-prod,W5_HTAP,HikariCP,1.0,4.0,runInfo.targetRps_per_node,4.002545195874104,4.002545195874104,0.0,4.0003253512634105,4.0,0.0,547.327,7966.719,,41.0,0.09762305355790497,18.04561379310345,4072.134151724138,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5
Hikari F,hikari-prod-20260711-184013,hikari-prod,W5_HTAP,HikariCP,4.0,16.0,runInfo.targetRps_per_node,13.84267712166226,15.34533966171132,1.5026625400490579,15.40523226030205,16.0,9.79230554781154,39321.599,106397.695,30000.387390832024,81.0,0.17089724841558346,91.78625310173697,14066.181364764268,0.0,0.0,900.0,,,,,0.0,1405.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
Hikari G,hikari-prod-20260711-201430,hikari-prod,W5_HTAP,HikariCP,4.0,16.0,runInfo.targetRps_per_node,13.784919951651847,15.345335558714432,1.5604156070625845,15.405228141291234,16.0,10.168664622247004,38436.863,111542.27100000001,30000.38764770802,81.0,0.17018419693397344,90.56466183574878,13765.343695652171,0.0,0.0,900.0,,,,,0.0,1459.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5
Hikari H,hikari-prod-20260711-214850,hikari-prod,W5_HTAP,HikariCP,4.0,16.0,runInfo.targetRps_per_node,13.585990895612541,15.348544087402736,1.7625531917901938,15.405228141282423,16.0,11.483520312173368,41369.599,111640.575,30000.375637030338,82.0,0.16568281580015295,90.55848410757946,13946.816650366747,0.0,0.0,900.0,,,,,0.0,1648.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
Hikari I,hikari-prod-20260711-232319,hikari-prod,W5_HTAP,HikariCP,4.0,16.0,runInfo.targetRps_per_node,13.464059732709618,15.352813919698075,1.8887541869884585,15.405219903287223,16.0,12.302333681644026,47136.767,127467.519,30000.375934695923,81.5,0.1652031869044125,92.54840294840294,14169.449582309584,0.0,0.0,900.0,,,,,0.0,1766.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5
Hikari J,hikari-prod-20260712-005732,hikari-prod,W5_HTAP,HikariCP,4.0,16.0,runInfo.targetRps_per_node,13.766738083133573,15.342127025433165,1.575388942299594,15.405228141282423,16.0,10.268386197281282,39075.839,110329.85500000001,30000.36035426477,82.0,0.16788704979431188,92.08343137254904,13969.455416666666,0.0,0.0,900.0,,,,,0.0,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5
