label,run_dir,scenario,workload,technology,per_node_rps,aggregate_rps,load_source,successful_rps,completed_rps,error_rps,attempted_rps,offered_rps,error_rate_pct,p95_latency_ms,p99_latency_ms,mean_failed_latency_ms,postgres_backend_connections,rps_per_db_connection,postgres_cpu_pct_avg,postgres_rss_mib,proxy_tier_cpu_pct,proxy_tier_rss_mib,duration_seconds,ojp_heap_used_mib,ojp_heap_committed_mib,ojp_heap_max_mib,ojp_heap_utilisation_percent,error_count_sqltransientexception,error_count_sqltransientconnectionexception,error_count_statusruntimeexception,error_count_sqlexception,error_count_timeout,error_count_connection_acquisition_failure,error_count_admission_control_failure,error_count_other,repetition,repetition_count
Hikari A,hikari-prod-20260704-131549,hikari-prod,W5_HTAP,HikariCP,1.0,4.0,runInfo.targetRps_per_node,3.9997725397736152,3.9997725397736152,0.0,3.9997725397736152,4.0,0.0,545.1510000000001,7303.1669999999995,,41.0,0.09755542779935647,23.844872180451127,5199.583533834586,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
Hikari B,hikari-prod-20260704-144910,hikari-prod,W5_HTAP,HikariCP,1.0,4.0,runInfo.targetRps_per_node,4.000638325528132,4.000638325528132,0.0,4.000638325528132,4.0,0.0,540.415,7071.743,,41.0,0.09757654452507639,18.158293333333337,4068.4792266666664,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5
Hikari C,hikari-prod-20260704-162132,hikari-prod,W5_HTAP,HikariCP,1.0,4.0,runInfo.targetRps_per_node,4.0000544262209985,4.0000544262209985,0.0,4.0000544262209985,4.0,0.0,533.631,7053.311,,41.0,0.09756230307856094,18.436889185580775,4076.902122830441,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
Hikari D,hikari-prod-20260704-175354,hikari-prod,W5_HTAP,HikariCP,1.0,4.0,runInfo.targetRps_per_node,4.000396329471885,4.000396329471885,0.0,4.000396329471885,4.0,0.0,523.135,6762.495000000001,,41.0,0.0975706421822411,18.162536327608983,4117.150541611625,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5
Hikari E,hikari-prod-20260704-192612,hikari-prod,W5_HTAP,HikariCP,1.0,4.0,runInfo.targetRps_per_node,4.00042741151076,4.00042741151076,0.0,4.00042741151076,4.0,0.0,512.511,6297.599,,41.0,0.09757140028075025,17.92013458950202,4049.910269179004,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5
Hikari F,hikari-prod-20260704-205833,hikari-prod,W5_HTAP,HikariCP,4.0,16.0,runInfo.targetRps_per_node,15.261909677556813,15.35174851539063,0.08983883783381669,15.405224022271607,16.0,0.5852027309460778,28385.279000000002,80347.135,30000.89233403572,75.0,0.20349212903409084,104.46186363636365,12880.680636363635,0.0,0.0,900.0,,,,,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
Hikari G,hikari-prod-20260704-223223,hikari-prod,W5_HTAP,HikariCP,4.0,16.0,runInfo.targetRps_per_node,15.428565121522478,15.428565121522478,0.0,15.410376295806616,16.0,0.0,13582.335,47005.695,,53.0,0.29110500229287695,99.92236947791164,9824.116646586344,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5
Hikari H,hikari-prod-20260705-000548,hikari-prod,W5_HTAP,HikariCP,4.0,16.0,runInfo.targetRps_per_node,15.528749869376503,15.528749869376503,0.0,15.50829770554,16.0,0.0,13537.278999999999,48136.191,,51.0,0.304485291556402,97.9529862475442,9419.43194499018,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
Hikari I,hikari-prod-20260705-013906,hikari-prod,W5_HTAP,HikariCP,4.0,16.0,runInfo.targetRps_per_node,15.567064823976198,15.567064823976198,0.0,15.54763406378262,16.0,0.0,10715.135,35389.439,,50.5,0.3082587093856673,92.3427911275416,8614.215101663585,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5
Hikari J,hikari-prod-20260705-031212,hikari-prod,W5_HTAP,HikariCP,4.0,16.0,runInfo.targetRps_per_node,15.532759795999011,15.532759795999011,0.0,15.512300450838744,16.0,0.0,10309.631000000001,32980.990999999995,,49.0,0.31699509787753083,93.3736823104693,8698.635379061372,0.0,0.0,900.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5
