run_dir,scenario,bench_replica_count,replicas_in_bundle,sut,workload,load_mode,target_rps_per_replica,open_loop,total_achieved_rps_sum,total_successful_rps_sum,total_error_rps_sum,total_completed_rps_sum,total_attempted_rps_sum,total_requests,total_successful_requests,total_failed_requests,aggregate_error_rate,top_error_types,median_replica_p50_ms,median_replica_p95_ms,median_replica_p99_ms,median_replica_p999_ms,proxy_service_cpu_aligned_peak_pct,proxy_service_cpu_legacy_peak_sum_pct,proxy_host_cpu_aligned_peak_pct,postgres_cpu_pct_peak,postgres_cpu_pct_mean,postgres_rss_mb_peak,postgres_rss_mb_mean,bench_cpu_sum_pct,proxy_rss_mb_aligned_peak,total_cpu_pct,total_rss_mb_peak,comparison_label,comparison_path_resolved,latency_percentiles_source,merged_p50_ms,merged_p95_ms,merged_p99_ms,merged_p999_ms,hdr_unit_divisor
hikari-prod-20260530-235628,hikari-prod,2,2,HIKARI_DISCIPLINED,W5_HTAP,open-loop,8,True,2.086328437412819,2.086328437412819,8.937190144632279,11.023518582045096,10.66485017390682,14937,2827,12110,0.8107384347593225,SQLTransientConnectionException:12110,27803.646999999997,60030.975,60030.975,60030.975,,,,213.72,179.5334306569343,116256.06,75877.14182481752,0.30045097736838344,0.0,214.02045097736837,116256.06,Hikari K,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260530-235628,summary_json_median,,,,,
hikari-prod-20260531-013611,hikari-prod,2,2,HIKARI_DISCIPLINED,W5_HTAP,open-loop,8,True,1.7926047250103463,1.7926047250103463,9.23534594857066,11.027950673581007,10.675186138214283,14943,2429,12514,0.8374489727631667,SQLTransientConnectionException:12514,27238.399,60030.975,60030.975,60030.975,,,,208.26,178.93441176470589,118324.9,78115.46632352941,0.3003003755257698,0.0,208.56030037552577,118324.9,Hikari L,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260531-013611,summary_json_median,,,,,
hikari-prod-20260531-031635,hikari-prod,2,2,HIKARI_DISCIPLINED,W5_HTAP,open-loop,8,True,1.7903899011529738,1.7903899011529738,9.217630660439156,11.00802056159213,10.658208171210168,14916,2426,12490,0.8373558594797533,SQLTransientConnectionException:12490,27631.615,60030.975,60030.975,60030.975,,,,211.34,180.76192592592594,117208.87,76436.40029629628,0.35017508754377186,0.0,211.69017508754376,117208.87,Hikari M,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260531-031635,summary_json_median,,,,,
hikari-prod-20260531-045632,hikari-prod,2,2,HIKARI_DISCIPLINED,W5_HTAP,open-loop,8,True,1.9121609619973663,1.9121609619973663,9.075937663269674,10.988098625267039,10.629430082056839,14889,2591,12298,0.8259789106051447,SQLTransientConnectionException:12298,27779.071,60030.975,60030.975,60030.975,,,,213.99,178.29956204379562,117487.19,78100.6789051095,0.30030060120240476,0.0,214.2903006012024,117487.19,Hikari N,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260531-045632,summary_json_median,,,,,
hikari-prod-20260531-063633,hikari-prod,2,2,HIKARI_DISCIPLINED,W5_HTAP,open-loop,8,True,1.8907588117003054,1.8907588117003054,9.100291818033117,10.991050629733422,10.629430082601484,14893,2562,12331,0.8279728731618882,SQLTransientConnectionException:12331,27394.047,60030.975,60030.975,60096.511,,,,209.55,179.22386861313868,115188.76,75670.72569343066,0.3003756387211642,0.0,209.85037563872118,115188.76,Hikari O,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260531-063633,summary_json_median,,,,,
hikari-prod-20260531-081727,hikari-prod,2,2,HIKARI_DISCIPLINED,W5_HTAP,open-loop,12,True,2.102565138971368,2.102565138971368,14.399877829499413,16.50244296847078,15.94451412486901,22361,2849,19512,0.8725906712579938,SQLTransientConnectionException:19512,29589.502999999997,60030.975,60030.975,60030.975,,,,209.38,175.97458646616542,121201.21,81011.3039849624,0.3503754881947734,0.0,209.73037548819477,121201.21,Hikari P,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260531-081727,summary_json_median,,,,,
hikari-prod-20260531-095743,hikari-prod,2,2,HIKARI_DISCIPLINED,W5_HTAP,open-loop,12,True,1.7549660316464595,1.7549660316464595,14.740828838462567,16.49579487010903,15.942294237993291,22352,2378,19974,0.8936113099498926,SQLTransientConnectionException:19974,29786.110999999997,60030.975,60030.975,60030.975,,,,215.07,180.84744360902255,133084.13,87210.40669172932,0.3506261396102169,0.0,215.42062613961022,133084.13,Hikari Q,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260531-095743,summary_json_median,,,,,
hikari-prod-20260531-113744,hikari-prod,2,2,HIKARI_DISCIPLINED,W5_HTAP,open-loop,12,True,1.8560734931303142,1.8560734931303142,14.640471553367464,16.49654504649778,15.943044004808819,22353,2515,19838,0.8874871381917416,SQLTransientConnectionException:19838,29712.383,60030.975,60030.975,60030.975,,,,212.13,180.37866666666665,119031.77,81023.07555555555,0.35055095175335654,0.0,212.48055095175334,119031.77,Hikari R,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260531-113744,summary_json_median,,,,,
hikari-prod-20260531-131732,hikari-prod,2,2,HIKARI_DISCIPLINED,W5_HTAP,open-loop,12,True,2.016217564747465,2.016217564747465,14.481047221724282,16.497264786471746,15.942288355275647,22354,2732,19622,0.877784736512481,SQLTransientConnectionException:19622,29712.383,60030.975,60030.975,60030.975,,,,206.68,178.32833333333335,131074.01,89878.2103030303,0.3505257886830245,0.0,207.03052578868304,131074.01,Hikari S,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260531-131732,summary_json_median,,,,,
hikari-prod-20260531-145739,hikari-prod,2,2,HIKARI_DISCIPLINED,W5_HTAP,open-loop,12,True,1.9475849872723905,1.9475849872723905,14.543787963632486,16.491372950904875,15.942300120702253,22346,2639,19707,0.881902801396223,SQLTransientConnectionException:19707,29720.575,60030.975,60030.975,60030.975,,,,206.02,179.2385496183206,136035.95,90868.27961832062,0.3505257886830245,0.0,206.37052578868304,136035.95,Hikari T,/Users/Stanzani/Development/stressar-results/results/hikari-prod-20260531-145739,summary_json_median,,,,,
