run_dir,scenario,bench_replica_count,replicas_in_bundle,sut,workload,load_mode,target_rps_per_replica,open_loop,total_achieved_rps_sum,total_successful_rps_sum,total_error_rps_sum,total_completed_rps_sum,total_attempted_rps_sum,total_requests,total_successful_requests,total_failed_requests,aggregate_error_rate,top_error_types,median_replica_p50_ms,median_replica_p95_ms,median_replica_p99_ms,median_replica_p999_ms,proxy_service_cpu_aligned_peak_pct,proxy_service_cpu_legacy_peak_sum_pct,proxy_host_cpu_aligned_peak_pct,comparison_label,comparison_path_resolved,latency_percentiles_source,merged_p50_ms,merged_p95_ms,merged_p99_ms,merged_p999_ms,hdr_unit_divisor
ojp-prod-20260530-164446,ojp-prod,2,2,OJP,W5_HTAP,open-loop,4,True,3.0323658834673948,3.0323658834673948,2.3768698198856626,5.409235703353057,5.383075101498874,7237,4057,3180,0.43940859472156973,SQLTransientException:2873; StatusRuntimeException:198; SQLException:109,13.951,19603.455,46088.191000000006,62685.183000000005,197.71,465.19,210.92,OJP F,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260530-164446,summary_json_median,,,,,
ojp-prod-20260530-182405,ojp-prod,2,2,OJP,W5_HTAP,open-loop,4,True,2.9326875554129543,2.9326875554129543,2.412649677544275,5.345337232957229,5.332010907445701,7220,3961,3259,0.45138504155124654,SQLTransientException:2968; StatusRuntimeException:185; SQLException:106,14.311,20799.487,45449.215,61243.391,309.69,459.82,353.58000000000004,OJP G,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260530-182405,summary_json_median,,,,,
ojp-prod-20260530-200328,ojp-prod,2,2,OJP,W5_HTAP,open-loop,4,True,2.7077168684857655,2.7077168684857655,2.6376951121103076,5.345411980596072,5.32691936940847,7227,3661,3566,0.4934274249342743,SQLTransientException:3314; StatusRuntimeException:142; SQLException:110,17.535,22200.319000000003,55787.519,64192.511,287.44,393.99,297.84,OJP H,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260530-200328,summary_json_median,,,,,
ojp-prod-20260530-214320,ojp-prod,2,2,OJP,W5_HTAP,open-loop,4,True,2.8752680676250724,2.8752680676250724,2.4787472828003883,5.3540153504254615,5.337710209546535,7224,3879,3345,0.4630398671096346,SQLTransientException:3169; StatusRuntimeException:95; SQLException:81,16.075,19423.231,45596.671,64651.263000000006,314.96000000000004,459.65000000000003,331.51,OJP I,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260530-214320,summary_json_median,,,,,
ojp-prod-20260530-232327,ojp-prod,2,2,OJP,W5_HTAP,open-loop,4,True,2.931950509513354,2.931950509513354,2.4106588487766647,5.3426093582900185,5.325601636619036,7225,3965,3260,0.45121107266435984,SQLTransientException:3064; StatusRuntimeException:105; SQLException:91,15.203,22675.455,45039.615000000005,64569.343,175.21,378.53,225.76,OJP J,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260530-232327,summary_json_median,,,,,
ojp-prod-20260531-010333,ojp-prod,2,2,OJP,W5_HTAP,open-loop,8,True,3.796570440546245,3.796570440546245,7.034689238592211,10.831259679138455,10.810242681840059,14430,5058,9372,0.6494802494802495,SQLTransientException:8796; SQLException:343; StatusRuntimeException:233,17.015,16314.366999999998,51642.367,63455.231,279.40999999999997,404.84,291.53,OJP K,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260531-010333,summary_json_median,,,,,
ojp-prod-20260531-024349,ojp-prod,2,2,OJP,W5_HTAP,open-loop,8,True,3.9819040783512163,3.9819040783512163,6.776220202619621,10.758124280970836,10.7432052346791,14422,5338,9084,0.6298710303702676,SQLTransientException:8566; SQLException:265; StatusRuntimeException:253,16.983,16588.799,46792.703,63258.623,321.39,482.94999999999993,337.2,OJP L,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260531-024349,summary_json_median,,,,,
ojp-prod-20260531-042334,ojp-prod,2,2,OJP,W5_HTAP,open-loop,8,True,3.7562849753826866,3.7562849753826866,6.955232927538059,10.711517902920747,10.690729026443524,14430,5060,9370,0.6493416493416494,SQLTransientException:8363; StatusRuntimeException:523; SQLException:484,18.070999999999998,20111.358999999997,58114.047,63537.151,304.6,478.48,316.66,OJP M,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260531-042334,summary_json_median,,,,,
ojp-prod-20260531-060338,ojp-prod,2,2,OJP,W5_HTAP,open-loop,8,True,3.924513220023341,3.924513220023341,6.815666869598137,10.740180089621479,10.726773484793934,14420,5269,9151,0.6346047156726768,SQLTransientException:8484; SQLException:373; StatusRuntimeException:294,16.307000000000002,19455.999,45137.918999999994,61800.447,321.29999999999995,457.26,359.82,OJP N,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260531-060338,summary_json_median,,,,,
ojp-prod-20260531-074426,ojp-prod,2,2,OJP,W5_HTAP,open-loop,8,True,3.923435005530364,3.923435005530364,6.852524247672031,10.775959253202394,10.7632579175553,14419,5250,9169,0.6358970802413482,SQLTransientException:8636; SQLException:290; StatusRuntimeException:243,18.607,14397.439,48431.103,62193.663,303.07,449.96,311.78999999999996,OJP O,/Users/Stanzani/Development/stressar-results/results/ojp-prod-20260531-074426,summary_json_median,,,,,
