label,run_dir,scenario,workload,technology,per_node_rps,aggregate_rps,load_source,successful_rps,completed_rps,error_rps,attempted_rps,offered_rps,error_rate_pct,p95_latency_ms,p99_latency_ms,postgres_backend_connections,rps_per_db_connection,postgres_cpu_pct_avg,postgres_rss_mib,proxy_tier_cpu_pct,proxy_tier_rss_mib,duration_seconds,error_count_sqltransientexception,error_count_sqltransientconnectionexception,error_count_statusruntimeexception,error_count_sqlexception,error_count_timeout,error_count_connection_acquisition_failure,error_count_admission_control_failure,error_count_other,repetition,repetition_count
Hikari O,hikari-prod-20260531-063633,hikari-prod,W5_HTAP,HikariCP,4.0,8.0,runInfo.targetRps_aggregate,1.8907588117003054,10.991050629733422,9.100291818033117,10.629430082601484,8.0,82.79728731618881,60030.975,60030.975,84.0,0.022509033472622682,179.22386861313868,75670.72569343066,0.0,0.0,900.0,0.0,12331.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5
Hikari P,hikari-prod-20260531-081727,hikari-prod,W5_HTAP,HikariCP,6.0,12.0,runInfo.targetRps_aggregate,2.102565138971368,16.50244296847078,14.399877829499413,15.94451412486901,12.0,87.25906712579939,60030.975,60030.975,85.0,0.024736060458486683,175.97458646616542,81011.3039849624,0.0,0.0,900.0,0.0,19512.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
Hikari Q,hikari-prod-20260531-095743,hikari-prod,W5_HTAP,HikariCP,6.0,12.0,runInfo.targetRps_aggregate,1.7549660316464595,16.49579487010903,14.740828838462567,15.942294237993291,12.0,89.36113099498925,60030.975,60030.975,84.0,0.020892452757695947,180.84744360902255,87210.40669172932,0.0,0.0,900.0,0.0,19974.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5
Hikari R,hikari-prod-20260531-113744,hikari-prod,W5_HTAP,HikariCP,6.0,12.0,runInfo.targetRps_aggregate,1.8560734931303142,16.49654504649778,14.640471553367464,15.943044004808819,12.0,88.74871381917416,60030.975,60030.975,84.0,0.022096113013456122,180.37866666666665,81023.07555555555,0.0,0.0,900.0,0.0,19838.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
Hikari S,hikari-prod-20260531-131732,hikari-prod,W5_HTAP,HikariCP,6.0,12.0,runInfo.targetRps_aggregate,2.016217564747465,16.497264786471746,14.481047221724282,15.942288355275647,12.0,87.7784736512481,60030.975,60030.975,84.0,0.02400259005651744,178.32833333333335,89878.2103030303,0.0,0.0,900.0,0.0,19622.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5
Hikari T,hikari-prod-20260531-145739,hikari-prod,W5_HTAP,HikariCP,6.0,12.0,runInfo.targetRps_aggregate,1.9475849872723905,16.491372950904875,14.543787963632486,15.942300120702253,12.0,88.1902801396223,60030.975,60030.975,84.0,0.023185535562766552,179.2385496183206,90868.27961832062,0.0,0.0,900.0,0.0,19707.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5
OJP A,ojp-prod-20260530-083342,ojp-prod,W5_HTAP,OJP,0.5,1.0,runInfo.targetRps_aggregate,1.3462582053453755,1.3462582053453755,0.0,1.3417905343099372,1.0,0.0,10334.207,28401.663,16.0,0.08414113783408597,43.586743515850145,5687.970187319884,3.4612074118350273,627.4589300657502,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5
OJP B,ojp-prod-20260530-101131,ojp-prod,W5_HTAP,OJP,0.5,1.0,runInfo.targetRps_aggregate,1.3520504226535897,1.3535477099433502,0.001497287289760343,1.349055848074069,1.0,0.11061946902654868,11030.527,29016.063000000002,16.0,0.08450315141584935,44.17415451895043,5565.947857142856,3.491413959085439,618.4862334536703,900.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2,5
OJP C,ojp-prod-20260530-114927,ojp-prod,W5_HTAP,OJP,0.5,1.0,runInfo.targetRps_aggregate,1.3426899674430706,1.3426899674430706,0.0,1.3382341379050957,1.0,0.0,10563.582999999999,28745.727,16.0,0.08391812296519191,43.927553648068674,5533.416294706723,3.472072879330944,637.6880047789725,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5
OJP D,ojp-prod-20260530-132733,ojp-prod,W5_HTAP,OJP,0.5,1.0,runInfo.targetRps_aggregate,1.3368905627211873,1.342086360452523,0.005195797731336001,1.3376325340350923,1.0,0.38716814159292035,12550.143,28368.895,16.0,0.08355566017007421,44.5656772334294,5567.629783861672,3.5246778042959432,628.8135441527446,900.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,4,5
OJP E,ojp-prod-20260530-150522,ojp-prod,W5_HTAP,OJP,0.5,1.0,runInfo.targetRps_aggregate,1.3507299928811012,1.3529749232760082,0.0022449303949070697,1.3484849622474373,1.0,0.16592920353982302,12333.055,27934.718999999997,16.0,0.08442062455506882,43.04677279305354,5486.12487698987,3.4498621103117504,617.6511510791366,900.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5,5
OJP F,ojp-prod-20260530-164446,ojp-prod,W5_HTAP,OJP,2.0,4.0,runInfo.targetRps_aggregate,3.0323658834673948,5.409235703353057,2.3768698198856626,5.383075101498874,4.0,43.94085947215697,19603.455,46088.191000000006,20.0,0.15161829417336975,134.9168623481781,11102.29809716599,4.3626619132501485,645.7807843137256,900.0,2873.0,0.0,198.0,109.0,0.0,0.0,0.0,0.0,1,5
OJP G,ojp-prod-20260530-182405,ojp-prod,W5_HTAP,OJP,2.0,4.0,runInfo.targetRps_aggregate,2.9326875554129543,5.345337232957229,2.412649677544275,5.332010907445701,4.0,45.13850415512465,20799.487,45449.215,20.0,0.14663437777064772,135.34068410462774,11461.057766599595,4.277771226415093,640.0874882075472,900.0,2968.0,0.0,185.0,106.0,0.0,0.0,0.0,0.0,2,5
OJP H,ojp-prod-20260530-200328,ojp-prod,W5_HTAP,OJP,2.0,4.0,runInfo.targetRps_aggregate,2.7077168684857655,5.345411980596072,2.6376951121103076,5.32691936940847,4.0,49.34274249342743,22200.319000000003,55787.519,20.0,0.13538584342428828,139.62618951612902,12964.011129032258,4.226412213740458,644.074797416324,900.0,3314.0,0.0,142.0,110.0,0.0,0.0,0.0,0.0,3,5
OJP I,ojp-prod-20260530-214320,ojp-prod,W5_HTAP,OJP,2.0,4.0,runInfo.targetRps_aggregate,2.8752680676250724,5.3540153504254615,2.4787472828003883,5.337710209546535,4.0,46.30398671096346,19423.231,45596.671,20.0,0.14376340338125362,141.87947154471547,10856.686605691057,4.2616735173223725,635.400223135643,900.0,3169.0,0.0,95.0,81.0,0.0,0.0,0.0,0.0,4,5
OJP J,ojp-prod-20260530-232327,ojp-prod,W5_HTAP,OJP,2.0,4.0,runInfo.targetRps_aggregate,2.931950509513354,5.3426093582900185,2.4106588487766647,5.325601636619036,4.0,45.121107266435985,22675.455,45039.615000000005,20.0,0.14659752547566768,140.19014314928427,10578.468936605315,4.280188346085932,646.8321306650971,900.0,3064.0,0.0,105.0,91.0,0.0,0.0,0.0,0.0,5,5
OJP K,ojp-prod-20260531-010333,ojp-prod,W5_HTAP,OJP,4.0,8.0,runInfo.targetRps_aggregate,3.796570440546245,10.831259679138455,7.034689238592211,10.810242681840059,8.0,64.94802494802495,16314.366999999998,51642.367,20.0,0.18982852202731224,147.56529914529915,13110.187478632479,4.734765300059418,648.7529292929294,900.0,8796.0,0.0,233.0,343.0,0.0,0.0,0.0,0.0,1,5
OJP L,ojp-prod-20260531-024349,ojp-prod,W5_HTAP,OJP,4.0,8.0,runInfo.targetRps_aggregate,3.9819040783512163,10.758124280970836,6.776220202619621,10.7432052346791,8.0,62.987103037026756,16588.799,46792.703,20.0,0.1990952039175608,145.3939832285115,13102.82853249476,4.759083382613838,655.3514370195151,900.0,8566.0,0.0,253.0,265.0,0.0,0.0,0.0,0.0,2,5
OJP M,ojp-prod-20260531-042334,ojp-prod,W5_HTAP,OJP,4.0,8.0,runInfo.targetRps_aggregate,3.7562849753826866,10.711517902920747,6.955232927538059,10.690729026443524,8.0,64.93416493416494,20111.358999999997,58114.047,20.0,0.18781424876913433,146.64935010482182,14623.929979035638,4.581248534583822,646.3107854630715,900.0,8363.0,0.0,523.0,484.0,0.0,0.0,0.0,0.0,3,5
OJP N,ojp-prod-20260531-060338,ojp-prod,W5_HTAP,OJP,4.0,8.0,runInfo.targetRps_aggregate,3.924513220023341,10.740180089621479,6.815666869598137,10.726773484793934,8.0,63.46047156726768,19455.999,45137.918999999994,20.0,0.19622566100116706,146.7948949579832,12157.25787815126,4.607006482027106,649.8721979964644,900.0,8484.0,0.0,294.0,373.0,0.0,0.0,0.0,0.0,4,5
OJP O,ojp-prod-20260531-074426,ojp-prod,W5_HTAP,OJP,4.0,8.0,runInfo.targetRps_aggregate,3.923435005530364,10.775959253202394,6.852524247672031,10.7632579175553,8.0,63.589708024134815,14397.439,48431.103,20.0,0.1961717502765182,145.75427659574467,12397.24263829787,4.805914994096812,652.3637662337663,900.0,8636.0,0.0,243.0,290.0,0.0,0.0,0.0,0.0,5,5
