timestamp_iso,attempted_rps,achieved_rps,errors,p50_ms,p95_ms,p99_ms,p999_ms,max_ms
2026-07-15T05:24:35.471Z,0.00,0.00,0,18.74,466.18,466.18,466.18,466.18
2026-07-15T05:24:36.466Z,1.01,2.01,0,14.39,23.60,23.60,23.60,23.60
2026-07-15T05:24:37.466Z,2.00,2.00,0,11.64,11.69,11.69,11.69,11.69
2026-07-15T05:24:38.466Z,2.00,2.00,0,12.53,12.94,12.94,12.94,12.94
2026-07-15T05:24:39.465Z,2.00,2.00,0,14.22,15.85,15.85,15.85,15.85
2026-07-15T05:24:40.465Z,2.00,2.00,0,12.85,14.65,14.65,14.65,14.65
2026-07-15T05:24:41.465Z,2.00,2.00,0,12.43,13.58,13.58,13.58,13.58
2026-07-15T05:24:42.466Z,2.00,2.00,0,11.85,27.09,27.09,27.09,27.09
2026-07-15T05:24:43.465Z,2.00,2.00,0,10.18,34.02,34.02,34.02,34.02
2026-07-15T05:24:44.465Z,2.00,2.00,0,12.01,33.50,33.50,33.50,33.50
2026-07-15T05:24:45.465Z,2.00,2.00,0,10.34,12.91,12.91,12.91,12.91
2026-07-15T05:24:46.465Z,2.00,2.00,0,9.77,9.94,9.94,9.94,9.94
2026-07-15T05:24:47.465Z,2.00,1.00,0,10.18,10.18,10.18,10.18,10.18
2026-07-15T05:24:48.465Z,2.00,2.00,0,9.80,13.99,13.99,13.99,13.99
2026-07-15T05:24:49.465Z,2.00,2.00,0,11.03,30.96,30.96,30.96,30.96
2026-07-15T05:24:50.465Z,2.00,2.00,0,9.02,12.26,12.26,12.26,12.26
2026-07-15T05:24:51.465Z,2.00,2.00,0,8.95,22.32,22.32,22.32,22.32
2026-07-15T05:24:52.465Z,2.00,2.00,0,8.98,9.02,9.02,9.02,9.02
2026-07-15T05:24:53.465Z,2.00,2.00,0,8.52,18.51,18.51,18.51,18.51
2026-07-15T05:24:54.465Z,2.00,2.00,0,8.06,8.10,8.10,8.10,8.10
2026-07-15T05:24:55.465Z,2.00,2.00,0,8.46,8.76,8.76,8.76,8.76
2026-07-15T05:24:56.465Z,2.00,3.00,0,21.73,9150.46,9150.46,9150.46,9150.46
2026-07-15T05:24:57.465Z,2.00,2.00,0,8.23,16.61,16.61,16.61,16.61
2026-07-15T05:24:58.465Z,2.00,2.00,0,8.68,8.87,8.87,8.87,8.87
2026-07-15T05:24:59.465Z,2.00,2.00,0,8.16,8.71,8.71,8.71,8.71
2026-07-15T05:25:00.465Z,2.00,2.00,0,7.40,7.68,7.68,7.68,7.68
2026-07-15T05:25:01.465Z,2.00,2.00,0,8.29,8.93,8.93,8.93,8.93
2026-07-15T05:25:02.465Z,2.00,2.00,0,8.12,9.92,9.92,9.92,9.92
2026-07-15T05:25:03.465Z,2.00,2.00,0,8.59,29.15,29.15,29.15,29.15
2026-07-15T05:25:04.465Z,2.00,2.00,0,8.58,8.71,8.71,8.71,8.71
2026-07-15T05:25:05.465Z,2.00,2.00,0,7.61,12.36,12.36,12.36,12.36
2026-07-15T05:25:06.465Z,2.00,2.00,0,8.20,12.23,12.23,12.23,12.23
2026-07-15T05:25:07.465Z,2.00,1.00,0,12.70,12.70,12.70,12.70,12.70
2026-07-15T05:25:08.465Z,2.00,2.00,0,9.53,34.56,34.56,34.56,34.56
2026-07-15T05:25:09.465Z,2.00,1.00,0,8.37,8.37,8.37,8.37,8.37
2026-07-15T05:25:10.465Z,2.00,2.00,0,8.72,2740.22,2740.22,2740.22,2740.22
2026-07-15T05:25:11.465Z,2.00,1.00,0,9.67,9.67,9.67,9.67,9.67
2026-07-15T05:25:12.465Z,2.00,0.00,0,0.00,0.00,0.00,0.00,0.00
2026-07-15T05:25:13.465Z,2.00,1.00,1,10.26,10.26,10.26,10.26,10.26
2026-07-15T05:25:14.465Z,2.00,1.00,1,8.12,8.12,8.12,8.12,8.12
2026-07-15T05:25:15.465Z,2.00,0.00,2,0.00,0.00,0.00,0.00,0.00
2026-07-15T05:25:16.465Z,2.00,1.00,0,19.30,19.30,19.30,19.30,19.30
2026-07-15T05:25:17.465Z,2.00,1.00,1,48.38,48.38,48.38,48.38,48.38
2026-07-15T05:25:18.465Z,2.00,0.00,2,0.00,0.00,0.00,0.00,0.00
2026-07-15T05:25:19.465Z,2.00,2.00,0,12.62,10010.62,10010.62,10010.62,10010.62
2026-07-15T05:25:20.465Z,2.00,1.00,1,9.86,9.86,9.86,9.86,9.86
2026-07-15T05:25:21.465Z,2.00,1.00,1,9289.73,9289.73,9289.73,9289.73,9289.73
2026-07-15T05:25:22.465Z,2.00,1.00,0,6.86,6.86,6.86,6.86,6.86
2026-07-15T05:25:23.465Z,2.00,1.00,1,65.79,65.79,65.79,65.79,65.79
2026-07-15T05:25:24.465Z,2.00,1.00,2,5337.09,5337.09,5337.09,5337.09,5337.09
2026-07-15T05:25:25.465Z,2.00,1.00,0,7.24,7.24,7.24,7.24,7.24
2026-07-15T05:25:26.465Z,2.00,3.00,0,268.80,13664.26,13664.26,13664.26,13664.26
2026-07-15T05:25:27.465Z,2.00,2.00,1,7.77,6918.14,6918.14,6918.14,6918.14
2026-07-15T05:25:28.465Z,2.00,1.00,0,10.15,10.15,10.15,10.15,10.15
2026-07-15T05:25:29.465Z,2.00,2.00,0,7.28,9.02,9.02,9.02,9.02
2026-07-15T05:25:30.465Z,2.00,2.00,1,21.81,19382.27,19382.27,19382.27,19382.27
2026-07-15T05:25:31.465Z,2.00,2.00,1,6.60,9420.80,9420.80,9420.80,9420.80
2026-07-15T05:25:32.465Z,2.00,2.00,0,5.83,6.83,6.83,6.83,6.83
2026-07-15T05:25:33.465Z,2.00,1.00,1,6.72,6.72,6.72,6.72,6.72
2026-07-15T05:25:34.465Z,2.00,3.00,0,9068.54,17563.65,17563.65,17563.65,17563.65
2026-07-15T05:25:35.465Z,2.00,4.00,0,9.18,6651.90,6651.90,6651.90,6651.90
2026-07-15T05:25:36.465Z,2.00,2.00,0,6.84,8.82,8.82,8.82,8.82
2026-07-15T05:25:37.465Z,2.00,3.00,0,6.96,27197.44,27197.44,27197.44,27197.44
2026-07-15T05:25:38.465Z,2.00,2.00,0,7.09,8.30,8.30,8.30,8.30
2026-07-15T05:25:39.465Z,2.00,2.00,0,6.32,6.74,6.74,6.74,6.74
2026-07-15T05:25:40.465Z,2.00,2.00,0,6.17,10.32,10.32,10.32,10.32
2026-07-15T05:25:41.465Z,2.00,2.00,0,15.30,26.11,26.11,26.11,26.11
2026-07-15T05:25:42.465Z,2.00,2.00,0,13.08,18.54,18.54,18.54,18.54
2026-07-15T05:25:43.465Z,2.00,2.00,0,6.92,19.10,19.10,19.10,19.10
2026-07-15T05:25:44.465Z,2.00,2.00,0,13.98,21.20,21.20,21.20,21.20
2026-07-15T05:25:45.465Z,2.00,2.00,0,6.09,7.57,7.57,7.57,7.57
2026-07-15T05:25:46.465Z,2.00,2.00,0,8.13,10.34,10.34,10.34,10.34
2026-07-15T05:25:47.465Z,2.00,2.00,0,6.28,13.20,13.20,13.20,13.20
2026-07-15T05:25:48.465Z,2.00,2.00,0,10.80,20.90,20.90,20.90,20.90
2026-07-15T05:25:49.465Z,2.00,2.00,0,7.96,20.08,20.08,20.08,20.08
2026-07-15T05:25:50.465Z,2.00,1.00,0,6.14,6.14,6.14,6.14,6.14
2026-07-15T05:25:51.465Z,2.00,2.00,0,7.35,10.73,10.73,10.73,10.73
2026-07-15T05:25:52.465Z,2.00,1.00,0,35.01,35.01,35.01,35.01,35.01
