timestamp,pid,cpu_pct,host_cpu_pct,rss_mb,vsz_mb
2026-05-23T07:43:46Z,1878789,0.00,3.94,118.33,3531.87
2026-05-23T07:43:47Z,1878789,0.00,4.88,118.33,3531.87
2026-05-23T07:43:48Z,1878789,0.00,4.95,118.33,3531.87
2026-05-23T07:43:49Z,1878789,0.00,27.45,118.33,3531.87
2026-05-23T07:43:50Z,1878789,25.99,40.19,137.23,3548.87
2026-05-23T07:43:51Z,1878789,164.80,168.63,184.89,3552.06
2026-05-23T07:43:52Z,1878789,20.52,23.65,187.13,3552.06
2026-05-23T07:43:53Z,1878789,3.92,6.90,187.30,3552.06
2026-05-23T07:43:54Z,1878789,1.95,6.86,187.38,3552.06
2026-05-23T07:43:55Z,1878789,4.90,6.86,187.54,3552.06
2026-05-23T07:43:56Z,1878789,3.91,9.76,187.71,3552.06
2026-05-23T07:43:57Z,1878789,5.88,8.87,187.92,3552.06
2026-05-23T07:43:58Z,1878789,3.92,7.84,188.11,3552.06
2026-05-23T07:43:59Z,1878789,3.92,8.82,188.33,3552.06
2026-05-23T07:44:00Z,1878789,1.96,5.88,188.43,3552.06
2026-05-23T07:44:01Z,1878789,5.88,8.87,188.66,3552.06
2026-05-23T07:44:02Z,1878789,2.94,5.88,188.77,3552.06
2026-05-23T07:44:03Z,1878789,4.89,8.87,189.08,3552.06
2026-05-23T07:44:04Z,1878789,3.92,6.86,189.25,3552.06
2026-05-23T07:44:05Z,1878789,2.94,7.84,189.36,3552.06
2026-05-23T07:44:06Z,1878789,4.90,6.90,189.43,3552.06
2026-05-23T07:44:07Z,1878789,9.79,14.71,189.82,3552.06
2026-05-23T07:44:08Z,1878789,0.98,2.96,189.84,3552.06
2026-05-23T07:44:09Z,1878789,0.00,4.90,189.84,3552.06
2026-05-23T07:44:10Z,1878789,2.94,7.84,189.90,3552.06
2026-05-23T07:44:12Z,1878789,1.96,30.54,189.92,3552.06
2026-05-23T07:44:13Z,1878789,2.94,5.91,190.02,3552.06
2026-05-23T07:44:14Z,1878789,2.93,5.88,190.10,3552.06
2026-05-23T07:44:15Z,1878789,6.81,12.68,190.55,3553.06
2026-05-23T07:44:16Z,1878789,23.46,27.45,195.43,3553.06
2026-05-23T07:44:17Z,1878789,0.00,3.94,195.43,3553.06
2026-05-23T07:44:18Z,1878789,2.93,7.77,195.55,3553.06
2026-05-23T07:44:19Z,1878789,11.74,14.71,195.85,3553.06
2026-05-23T07:44:20Z,1878789,7.83,11.82,196.03,3553.06
2026-05-23T07:44:21Z,1878789,6.85,8.91,196.28,3553.06
2026-05-23T07:44:22Z,1878789,2.94,8.78,196.36,3553.06
2026-05-23T07:44:23Z,1878789,8.81,9.80,196.50,3553.06
2026-05-23T07:44:24Z,1878789,1.96,4.93,196.60,3553.06
2026-05-23T07:44:25Z,1878789,3.92,8.82,196.84,3553.06
2026-05-23T07:44:26Z,1878789,2.94,5.88,196.98,3553.06
2026-05-23T07:44:27Z,1878789,3.91,6.93,196.98,3553.06
2026-05-23T07:44:28Z,1878789,2.94,5.88,196.94,3553.06
2026-05-23T07:44:29Z,1878789,3.91,6.83,197.01,3553.06
2026-05-23T07:44:30Z,1878789,2.94,4.95,197.07,3553.06
2026-05-23T07:44:31Z,1878789,0.98,4.88,197.07,3553.06
2026-05-23T07:44:32Z,1878789,2.94,5.88,197.12,3553.06
2026-05-23T07:44:33Z,1878789,0.00,4.93,197.12,3553.06
2026-05-23T07:44:34Z,1878789,0.00,1.97,197.12,3553.06
