timestamp_iso,attempted_rps,achieved_rps,errors,p50_ms,p95_ms,p99_ms,p999_ms,max_ms
2026-07-15T19:13:40.395Z,0.00,0.00,0,1.87,14.81,14.81,14.81,14.81
2026-07-15T19:13:41.395Z,3.00,4.00,0,1.50,9.38,9.38,9.38,9.38
2026-07-15T19:13:42.395Z,4.00,4.00,0,2.15,7.18,7.18,7.18,7.18
2026-07-15T19:13:43.394Z,4.00,4.00,0,1.56,1.85,1.85,1.85,1.85
2026-07-15T19:13:44.394Z,4.00,3.00,0,3.11,3.70,3.70,3.70,3.70
2026-07-15T19:13:45.394Z,4.00,4.00,0,2.25,10.14,10.14,10.14,10.14
2026-07-15T19:13:46.394Z,4.00,4.00,0,2.16,5.87,5.87,5.87,5.87
2026-07-15T19:13:47.394Z,4.00,4.00,0,1.65,5.52,5.52,5.52,5.52
2026-07-15T19:13:48.394Z,4.00,4.00,0,1.57,5.89,5.89,5.89,5.89
2026-07-15T19:13:49.394Z,4.00,4.00,0,2.88,4.37,4.37,4.37,4.37
2026-07-15T19:13:50.394Z,4.00,4.00,0,1.25,3.69,3.69,3.69,3.69
2026-07-15T19:13:51.394Z,4.00,4.00,0,1.45,5.68,5.68,5.68,5.68
2026-07-15T19:13:52.394Z,4.00,4.00,0,1.32,4.32,4.32,4.32,4.32
2026-07-15T19:13:53.394Z,4.00,4.00,0,1.17,1.40,1.40,1.40,1.40
2026-07-15T19:13:54.394Z,4.00,5.00,0,19.95,10092.54,10092.54,10092.54,10092.54
2026-07-15T19:13:55.394Z,4.00,3.00,0,2.85,4.79,4.79,4.79,4.79
2026-07-15T19:13:56.394Z,4.00,3.00,0,13.97,27.81,27.81,27.81,27.81
2026-07-15T19:13:57.394Z,4.00,4.00,0,1.91,3.83,3.83,3.83,3.83
2026-07-15T19:13:58.394Z,4.00,3.00,0,1.80,3.04,3.04,3.04,3.04
2026-07-15T19:13:59.394Z,4.00,4.00,0,14.36,27.84,27.84,27.84,27.84
2026-07-15T19:14:00.394Z,4.00,4.00,0,1.56,3.69,3.69,3.69,3.69
2026-07-15T19:14:01.394Z,4.00,4.00,0,1.52,40.13,40.13,40.13,40.13
2026-07-15T19:14:02.394Z,4.00,3.00,0,12.91,50.85,50.85,50.85,50.85
2026-07-15T19:14:03.394Z,4.00,4.00,0,3.12,16.10,16.10,16.10,16.10
2026-07-15T19:14:04.394Z,4.00,3.00,0,11.34,12.98,12.98,12.98,12.98
2026-07-15T19:14:05.394Z,4.00,4.00,0,6.06,46.37,46.37,46.37,46.37
2026-07-15T19:14:06.394Z,4.00,4.00,0,1.38,25.38,25.38,25.38,25.38
2026-07-15T19:14:07.394Z,4.00,4.00,0,1.39,37.28,37.28,37.28,37.28
2026-07-15T19:14:08.394Z,4.00,4.00,0,6.68,27.81,27.81,27.81,27.81
2026-07-15T19:14:09.394Z,4.00,4.00,0,1.10,8.48,8.48,8.48,8.48
2026-07-15T19:14:10.394Z,4.00,4.00,0,4.42,9.05,9.05,9.05,9.05
2026-07-15T19:14:11.394Z,4.00,4.00,0,9.98,32.64,32.64,32.64,32.64
2026-07-15T19:14:12.394Z,4.00,4.00,0,1.01,27.73,27.73,27.73,27.73
2026-07-15T19:14:13.394Z,4.00,4.00,0,2.84,7.06,7.06,7.06,7.06
2026-07-15T19:14:14.394Z,4.00,4.00,0,2.67,41.57,41.57,41.57,41.57
2026-07-15T19:14:15.394Z,4.00,4.00,0,3.15,13.67,13.67,13.67,13.67
2026-07-15T19:14:16.394Z,4.00,3.00,0,1.29,65.98,65.98,65.98,65.98
2026-07-15T19:14:17.394Z,4.00,4.00,0,1.86,6.28,6.28,6.28,6.28
2026-07-15T19:14:18.394Z,4.00,3.00,0,6.10,52.74,52.74,52.74,52.74
2026-07-15T19:14:19.394Z,4.00,4.00,0,2.24,39.14,39.14,39.14,39.14
2026-07-15T19:14:20.394Z,4.00,4.00,0,1.85,15.08,15.08,15.08,15.08
2026-07-15T19:14:21.394Z,4.00,4.00,0,1.42,25.76,25.76,25.76,25.76
2026-07-15T19:14:22.394Z,4.00,4.00,0,1.35,26.62,26.62,26.62,26.62
2026-07-15T19:14:23.394Z,4.00,4.00,0,1.27,5.95,5.95,5.95,5.95
2026-07-15T19:14:24.394Z,4.00,4.00,0,0.84,3.85,3.85,3.85,3.85
2026-07-15T19:14:25.394Z,4.00,4.00,0,6.97,138.62,138.62,138.62,138.62
2026-07-15T19:14:26.394Z,4.00,4.00,0,0.93,0.98,0.98,0.98,0.98
2026-07-15T19:14:27.394Z,4.00,4.00,0,3.85,127.30,127.30,127.30,127.30
2026-07-15T19:14:28.394Z,4.00,4.00,0,3.92,17.73,17.73,17.73,17.73
2026-07-15T19:14:29.394Z,4.00,4.00,0,0.81,7.98,7.98,7.98,7.98
2026-07-15T19:14:30.394Z,4.00,4.00,0,0.78,12.66,12.66,12.66,12.66
